@relation train

@attribute Age numeric
@attribute Occupation {Scientist,Teacher,Engineer,Entrepreneur,Developer,Lawyer,Media_Manager,Doctor,Journalist,Manager,Accountant,Musician,Mechanic,Writer,Architect}
@attribute Annual_Income numeric
@attribute Monthly_Inhand_Salary numeric
@attribute Num_Credit_Card numeric
@attribute Num_of_Loan numeric
@attribute Num_of_Delayed_Payment numeric
@attribute Outstanding_Debt numeric
@attribute Credit_History_Age {'22 Years and 1 Months',NA,'26 Years and 8 Months','26 Years and 11 Months','27 Years and 0 Months','27 Years and 2 Months','17 Years and 10 Months','18 Years and 3 Months','18 Years and 4 Months','17 Years and 3 Months','17 Years and 4 Months','17 Years and 5 Months','17 Years and 7 Months','30 Years and 11 Months','31 Years and 0 Months','31 Years and 2 Months','32 Years and 2 Months','32 Years and 3 Months','32 Years and 5 Months','32 Years and 6 Months','30 Years and 7 Months','30 Years and 8 Months','30 Years and 9 Months','30 Years and 10 Months','14 Years and 8 Months','15 Years and 2 Months','21 Years and 5 Months','21 Years and 8 Months','21 Years and 9 Months','26 Years and 6 Months','26 Years and 7 Months','26 Years and 9 Months','19 Years and 3 Months','19 Years and 7 Months','19 Years and 8 Months','25 Years and 5 Months','25 Years and 7 Months','25 Years and 8 Months','25 Years and 9 Months','25 Years and 10 Months','26 Years and 10 Months','27 Years and 1 Months','27 Years and 3 Months','27 Years and 4 Months','27 Years and 5 Months','9 Years and 0 Months','9 Years and 2 Months','9 Years and 3 Months','9 Years and 4 Months','18 Years and 2 Months','18 Years and 6 Months','18 Years and 8 Months','16 Years and 10 Months','16 Years and 11 Months','29 Years and 4 Months','29 Years and 6 Months','29 Years and 8 Months','29 Years and 9 Months','6 Years and 5 Months','6 Years and 6 Months','6 Years and 7 Months','6 Years and 8 Months','7 Years and 0 Months','27 Years and 7 Months','27 Years and 8 Months','18 Years and 5 Months','18 Years and 9 Months','19 Years and 4 Months','19 Years and 5 Months','19 Years and 9 Months','10 Years and 2 Months','10 Years and 4 Months','32 Years and 10 Months','32 Years and 11 Months','33 Years and 4 Months','12 Years and 5 Months','12 Years and 8 Months','12 Years and 10 Months','13 Years and 8 Months','14 Years and 1 Months','19 Years and 6 Months','30 Years and 3 Months','30 Years and 4 Months','8 Years and 9 Months','8 Years and 10 Months','9 Years and 1 Months','18 Years and 7 Months','13 Years and 1 Months','13 Years and 2 Months','13 Years and 5 Months','13 Years and 7 Months','21 Years and 6 Months','26 Years and 0 Months','26 Years and 1 Months','26 Years and 2 Months','28 Years and 5 Months','7 Years and 11 Months','8 Years and 0 Months','8 Years and 2 Months','8 Years and 4 Months','24 Years and 3 Months','24 Years and 7 Months','24 Years and 8 Months','24 Years and 9 Months','17 Years and 1 Months','17 Years and 2 Months','17 Years and 6 Months','1 Years and 5 Months','1 Years and 6 Months','1 Years and 8 Months','11 Years and 0 Months','11 Years and 4 Months','11 Years and 5 Months','20 Years and 0 Months','21 Years and 0 Months','21 Years and 3 Months','0 Years and 5 Months','0 Years and 6 Months','0 Years and 9 Months','0 Years and 10 Months','31 Years and 8 Months','31 Years and 9 Months','31 Years and 11 Months','32 Years and 1 Months','17 Years and 0 Months','12 Years and 7 Months','13 Years and 0 Months','27 Years and 10 Months','11 Years and 6 Months','11 Years and 7 Months','11 Years and 8 Months','11 Years and 10 Months','24 Years and 11 Months','25 Years and 2 Months','25 Years and 3 Months','17 Years and 9 Months','17 Years and 11 Months','10 Years and 7 Months','31 Years and 3 Months','31 Years and 4 Months','31 Years and 5 Months','31 Years and 1 Months','17 Years and 8 Months','13 Years and 3 Months','13 Years and 6 Months','5 Years and 5 Months','5 Years and 8 Months','2 Years and 11 Months','3 Years and 1 Months','3 Years and 4 Months','3 Years and 5 Months','3 Years and 6 Months','24 Years and 5 Months','24 Years and 6 Months','16 Years and 4 Months','16 Years and 8 Months','23 Years and 4 Months','23 Years and 5 Months','8 Years and 5 Months','8 Years and 8 Months','4 Years and 5 Months','4 Years and 6 Months','4 Years and 8 Months','4 Years and 9 Months','32 Years and 9 Months','33 Years and 2 Months','33 Years and 3 Months','30 Years and 2 Months','25 Years and 11 Months','33 Years and 0 Months','26 Years and 3 Months','26 Years and 4 Months','18 Years and 0 Months','18 Years and 1 Months','28 Years and 3 Months','28 Years and 4 Months','28 Years and 6 Months','28 Years and 8 Months','29 Years and 2 Months','29 Years and 3 Months','29 Years and 5 Months','20 Years and 1 Months','20 Years and 3 Months','20 Years and 4 Months','20 Years and 5 Months','20 Years and 7 Months','28 Years and 7 Months','28 Years and 9 Months','28 Years and 11 Months','29 Years and 0 Months','13 Years and 9 Months','1 Years and 4 Months','1 Years and 10 Months','1 Years and 11 Months','33 Years and 1 Months','28 Years and 10 Months','5 Years and 4 Months','31 Years and 10 Months','32 Years and 8 Months','8 Years and 11 Months','24 Years and 4 Months','24 Years and 10 Months','22 Years and 5 Months','22 Years and 6 Months','22 Years and 9 Months','22 Years and 10 Months','22 Years and 11 Months','16 Years and 5 Months','16 Years and 6 Months','23 Years and 3 Months','21 Years and 11 Months','22 Years and 2 Months','20 Years and 2 Months','20 Years and 8 Months','20 Years and 9 Months','15 Years and 4 Months','15 Years and 5 Months','15 Years and 6 Months','15 Years and 8 Months','15 Years and 9 Months','15 Years and 10 Months','12 Years and 9 Months','4 Years and 10 Months','5 Years and 1 Months','26 Years and 5 Months','15 Years and 7 Months','22 Years and 7 Months','27 Years and 9 Months','28 Years and 0 Months','28 Years and 2 Months','5 Years and 7 Months','16 Years and 7 Months','12 Years and 0 Months','12 Years and 2 Months','12 Years and 4 Months','27 Years and 11 Months','31 Years and 7 Months','21 Years and 2 Months','21 Years and 4 Months','23 Years and 2 Months','13 Years and 4 Months','16 Years and 2 Months','29 Years and 1 Months','14 Years and 9 Months','14 Years and 10 Months','14 Years and 11 Months','15 Years and 0 Months','16 Years and 1 Months','23 Years and 1 Months','25 Years and 4 Months','25 Years and 6 Months','18 Years and 10 Months','19 Years and 2 Months','8 Years and 1 Months','8 Years and 3 Months','8 Years and 7 Months','9 Years and 5 Months','9 Years and 6 Months','5 Years and 11 Months','6 Years and 1 Months','18 Years and 11 Months','19 Years and 0 Months','5 Years and 6 Months','5 Years and 9 Months','5 Years and 10 Months','15 Years and 3 Months','7 Years and 9 Months','28 Years and 1 Months','33 Years and 5 Months','6 Years and 11 Months','7 Years and 1 Months','7 Years and 2 Months','7 Years and 5 Months','23 Years and 7 Months','23 Years and 9 Months','21 Years and 7 Months','22 Years and 0 Months','22 Years and 3 Months','10 Years and 8 Months','10 Years and 9 Months','11 Years and 9 Months','11 Years and 11 Months','21 Years and 10 Months','31 Years and 6 Months','32 Years and 0 Months','20 Years and 11 Months','30 Years and 5 Months','30 Years and 6 Months','29 Years and 11 Months','9 Years and 10 Months','10 Years and 0 Months','10 Years and 1 Months','14 Years and 0 Months','14 Years and 3 Months','14 Years and 4 Months','22 Years and 4 Months','22 Years and 8 Months','6 Years and 0 Months','23 Years and 8 Months','23 Years and 10 Months','23 Years and 11 Months','24 Years and 0 Months','15 Years and 11 Months','9 Years and 7 Months','9 Years and 8 Months','9 Years and 9 Months','25 Years and 0 Months','10 Years and 10 Months','11 Years and 1 Months','7 Years and 8 Months','7 Years and 10 Months','19 Years and 11 Months','27 Years and 6 Months','23 Years and 6 Months','13 Years and 10 Months','12 Years and 6 Months','25 Years and 1 Months','29 Years and 10 Months','30 Years and 0 Months','10 Years and 5 Months','10 Years and 6 Months','10 Years and 11 Months','30 Years and 1 Months','11 Years and 2 Months','10 Years and 3 Months','7 Years and 3 Months','7 Years and 6 Months','9 Years and 11 Months','16 Years and 0 Months','19 Years and 1 Months','1 Years and 9 Months','6 Years and 2 Months','6 Years and 3 Months','6 Years and 4 Months','20 Years and 6 Months','32 Years and 7 Months','20 Years and 10 Months','23 Years and 0 Months','3 Years and 3 Months','3 Years and 7 Months','3 Years and 9 Months','3 Years and 10 Months','19 Years and 10 Months','12 Years and 1 Months','12 Years and 3 Months','29 Years and 7 Months','16 Years and 3 Months','7 Years and 4 Months','7 Years and 7 Months','14 Years and 7 Months','12 Years and 11 Months','24 Years and 2 Months','13 Years and 11 Months','4 Years and 7 Months','4 Years and 11 Months','6 Years and 10 Months','6 Years and 9 Months','3 Years and 11 Months','4 Years and 1 Months','4 Years and 2 Months','4 Years and 4 Months','1 Years and 3 Months','14 Years and 6 Months','32 Years and 4 Months','11 Years and 3 Months','2 Years and 4 Months','16 Years and 9 Months','2 Years and 1 Months','8 Years and 6 Months','5 Years and 2 Months','1 Years and 7 Months','21 Years and 1 Months','14 Years and 5 Months','0 Years and 7 Months','1 Years and 2 Months','24 Years and 1 Months','14 Years and 2 Months','3 Years and 8 Months','4 Years and 0 Months','0 Years and 8 Months','1 Years and 0 Months','33 Years and 6 Months','1 Years and 1 Months','2 Years and 2 Months','2 Years and 3 Months','0 Years and 4 Months','2 Years and 7 Months','15 Years and 1 Months','2 Years and 8 Months','2 Years and 9 Months','2 Years and 10 Months','3 Years and 0 Months','3 Years and 2 Months','2 Years and 0 Months','5 Years and 3 Months','2 Years and 5 Months','4 Years and 3 Months','0 Years and 11 Months','5 Years and 0 Months','0 Years and 2 Months','0 Years and 3 Months','33 Years and 7 Months','33 Years and 8 Months','2 Years and 6 Months'}
@attribute Payment_of_Min_Amount {No,NM,Yes}
@attribute Monthly_Balance numeric
@attribute Credit_Score {Good,Standard,Poor}

@data
23,Scientist,19114.12,1824.843333,4,4,7,809.98,'22 Years and 1 Months',No,312.494089,Good
23,Scientist,19114.12,1824.843333,4,4,6,809.98,NA,No,358.124168,Standard
28,Teacher,34847.84,3037.986667,4,1,1,605.03,'26 Years and 8 Months',No,484.591214,Good
28,Teacher,34847.84,3037.986667,4,1,1,605.03,'26 Years and 11 Months',No,444.867032,Good
28,Teacher,34847.84,3037.986667,4,1,0,605.03,'27 Years and 0 Months',No,481.505262,Good
28,Teacher,34847.84,3037.986667,4,1,4,605.03,'27 Years and 2 Months',No,356.078109,Good
34,Engineer,143162.64,12187.22,5,3,6,1303.01,'17 Years and 10 Months',No,998.869297,Good
34,Engineer,143162.64,12187.22,5,3,5,1303.01,NA,No,426.513411,Good
34,Engineer,143162.64,12187.22,5,3,6,1303.01,'18 Years and 3 Months',No,968.555517,Standard
34,Engineer,143162.64,12187.22,5,3,6,1303.01,'18 Years and 4 Months',No,895.494583,Standard
54,Entrepreneur,30689.89,2612.490833,5,1,6,632.46,'17 Years and 3 Months',No,433.604773,Standard
54,Entrepreneur,30689.89,2612.490833,5,1,3,632.46,'17 Years and 4 Months',No,409.951812,Standard
55,Entrepreneur,30689.89,2612.490833,5,1,9,632.46,'17 Years and 5 Months',NM,411.427123,Standard
55,Entrepreneur,30689.89,2612.490833,5,1,6,632.46,'17 Years and 7 Months',No,359.374915,Standard
21,Developer,35547.71,2853.309167,5,0,15,943.86,'30 Years and 11 Months',Yes,438.545432,Standard
21,Developer,35547.71,2853.309167,5,0,17,943.86,'31 Years and 0 Months',Yes,482.607638,Standard
21,Developer,35547.71,2853.309167,5,0,15,943.86,'31 Years and 2 Months',Yes,394.318934,Standard
31,Lawyer,73928.46,5988.705,5,0,7,548.2,NA,No,698.810766,Good
31,Lawyer,73928.46,5988.705,5,0,7,548.2,'32 Years and 2 Months',No,270.668109,Good
31,Lawyer,73928.46,5988.705,5,0,7,548.2,'32 Years and 3 Months',No,690.918664,Good
31,Lawyer,73928.46,5988.705,5,0,7,548.2,NA,No,633.080175,Good
31,Lawyer,73928.46,5988.705,5,0,4,548.2,'32 Years and 5 Months',No,510.361101,Standard
31,Lawyer,73928.46,5988.705,5,0,7,548.2,'32 Years and 6 Months',No,796.23491,Good
33,Lawyer,131313.4,11242.78333,1,2,3,352.16,'30 Years and 7 Months',NM,858.462474,Good
34,Lawyer,131313.4,11242.78333,1,2,2,352.16,'30 Years and 8 Months',No,547.760457,Good
34,Lawyer,131313.4,10469.20776,1,2,3,352.16,'30 Years and 9 Months',NM,1038.569407,Good
34,Lawyer,131313.4,10469.20776,1,2,2,352.16,'30 Years and 10 Months',No,899.198772,Good
34,Lawyer,131313.4,10469.20776,1,2,4,352.16,'30 Years and 11 Months',No,963.254819,Good
34,Lawyer,131313.4,10469.20776,1,2,2,352.16,'31 Years and 2 Months',No,396.111346,Good
30,Media_Manager,34081.38,2611.115,7,3,14,1704.18,'14 Years and 8 Months',Yes,392.196185,Poor
30,Media_Manager,34081.38,2611.115,7,3,14,1704.18,'15 Years and 2 Months',Yes,411.306804,Poor
23,Doctor,114838.41,9843.8675,5,3,8,1377.74,'21 Years and 5 Months',NM,785.258356,Good
23,Doctor,114838.41,9843.8675,5,3,11,1377.74,'21 Years and 8 Months',No,367.684594,Standard
24,Doctor,114838.41,9843.8675,5,3,14,1377.74,'21 Years and 9 Months',NM,491.113388,Good
44,Journalist,31370.8,2825.233333,5,2,0,421.43,NA,NM,341.554423,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,'26 Years and 6 Months',No,227.162735,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,'26 Years and 7 Months',No,375.086508,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,'26 Years and 8 Months',No,292.301678,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,'26 Years and 9 Months',No,341.206633,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,NA,No,378.189779,Good
40,Teacher,33751.27,2948.605833,5,3,20,1328.93,'19 Years and 3 Months',Yes,399.721331,Standard
40,Teacher,33751.27,2948.605833,5,3,20,1328.93,'19 Years and 7 Months',Yes,406.992327,Standard
40,Teacher,33751.27,2948.605833,5,3,20,1328.93,'19 Years and 8 Months',Yes,444.425239,Standard
32,Engineer,88640.24,7266.686667,6,2,0,950.36,'25 Years and 5 Months',No,732.563532,Standard
33,Engineer,88640.24,7266.686667,6,2,0,950.36,'25 Years and 7 Months',No,543.306384,Standard
33,Engineer,88640.24,7266.686667,6,2,2,950.36,'25 Years and 8 Months',No,86.63612,Standard
33,Engineer,88640.24,7266.686667,6,2,2,950.36,'25 Years and 9 Months',No,561.876674,Good
33,Engineer,88640.24,7266.686667,6,2,0,950.36,'25 Years and 10 Months',No,195.369079,Good
35,Entrepreneur,54392.16,4766.68,4,3,8,179.22,'26 Years and 10 Months',Yes,378.54048,Standard
35,Entrepreneur,54392.16,4766.68,4,3,7,179.22,'27 Years and 1 Months',Yes,147.43369,Standard
35,Entrepreneur,54392.16,4766.68,4,3,8,179.22,'27 Years and 2 Months',Yes,409.157472,Standard
35,Entrepreneur,54392.16,4766.68,4,3,8,179.22,'27 Years and 3 Months',Yes,7.129357,Standard
36,Entrepreneur,54392.16,4766.68,4,3,8,179.22,'27 Years and 4 Months',Yes,464.163514,Standard
36,Entrepreneur,54392.16,4766.68,4,3,8,179.22,'27 Years and 5 Months',Yes,147.15802,Standard
39,Manager,8701.545,519.12875,5,7,9,2602.69,'9 Years and 0 Months',Yes,250.649514,Poor
39,Manager,8701.545,519.12875,5,7,7,2602.69,'9 Years and 2 Months',Yes,284.974494,Poor
39,Manager,8701.545,519.12875,5,7,9,2602.69,'9 Years and 3 Months',Yes,254.877726,Poor
39,Manager,8701.545,519.12875,5,7,6,2602.69,'9 Years and 4 Months',Yes,242.433064,Poor
36,Entrepreneur,25546.26,2415.855,7,5,14,758.44,'18 Years and 2 Months',NM,337.152264,Standard
37,Entrepreneur,25546.26,2415.855,7,5,10,758.44,'18 Years and 4 Months',Yes,319.040276,Standard
37,Entrepreneur,25546.26,2415.855,7,5,13,758.44,'18 Years and 6 Months',Yes,118.257515,Standard
37,Entrepreneur,25546.26,2415.855,7,5,10,758.44,NA,Yes,338.526114,Standard
37,Entrepreneur,25546.26,2415.855,7,5,14,758.44,'18 Years and 8 Months',Yes,299.956469,Standard
30,Scientist,31993.78,2942.148333,6,2,14,818.22,'16 Years and 10 Months',Yes,447.0747,Standard
30,Scientist,31993.78,2942.148333,6,2,14,818.22,'16 Years and 11 Months',Yes,157.869803,Standard
31,Scientist,31993.78,2942.148333,6,2,16,818.22,'17 Years and 5 Months',Yes,421.485332,Standard
20,Accountant,92047.08,7591.59,7,0,11,1296.64,'29 Years and 4 Months',Yes,823.713377,Standard
20,Accountant,92047.08,7591.59,7,0,8,1296.64,'29 Years and 6 Months',NM,920.439654,Poor
20,Accountant,92047.08,7591.59,7,0,13,1296.64,NA,Yes,782.573973,Poor
20,Accountant,92047.08,7591.59,7,0,10,1296.64,'29 Years and 8 Months',Yes,939.87343,Poor
20,Accountant,92047.08,7591.59,7,0,11,1296.64,'29 Years and 9 Months',Yes,761.074397,Poor
45,Teacher,32284.62,2898.385,7,6,12,1283.37,'6 Years and 5 Months',Yes,211.939325,Standard
46,Teacher,32284.62,2898.385,7,6,12,1283.37,'6 Years and 6 Months',Yes,353.590632,Standard
46,Teacher,32284.62,2898.385,7,6,12,1283.37,'6 Years and 7 Months',Yes,391.007371,Standard
46,Teacher,32284.62,2898.385,7,6,12,1283.37,'6 Years and 8 Months',Yes,196.582686,Standard
46,Teacher,32284.62,2898.385,7,6,12,1283.37,'7 Years and 0 Months',Yes,117.029107,Standard
26,Musician,97791.42,8079.285,6,0,8,107.41,'27 Years and 3 Months',Yes,755.20818,Standard
26,Musician,97791.42,8079.285,6,0,7,107.41,'27 Years and 4 Months',Yes,881.664274,Standard
26,Musician,97791.42,7449.469347,6,0,8,107.41,'27 Years and 7 Months',Yes,939.624561,Good
26,Musician,97791.42,7449.469347,6,0,8,107.41,'27 Years and 8 Months',Yes,334.387699,Standard
31,Entrepreneur,19300.34,1512.361667,7,5,18,2430.21,'18 Years and 3 Months',NM,306.365891,Poor
31,Entrepreneur,19300.34,1512.361667,7,5,19,2430.21,NA,Yes,230.845508,Poor
31,Entrepreneur,19300.34,1512.361667,7,5,19,2430.21,'18 Years and 5 Months',Yes,300.236074,Standard
32,Entrepreneur,19300.34,1512.361667,7,5,19,2430.21,NA,Yes,218.621554,Poor
32,Entrepreneur,19300.34,1512.361667,7,5,19,2430.21,'18 Years and 9 Months',Yes,263.478554,Standard
41,Musician,19514.88,1828.24,5,0,12,881.4,'19 Years and 3 Months',NM,382.680273,Standard
41,Musician,19514.88,1828.24,5,0,14,881.4,'19 Years and 4 Months',No,381.896065,Standard
41,Musician,19514.88,1828.24,5,0,12,881.4,'19 Years and 5 Months',No,389.508175,Standard
41,Musician,19514.88,1828.24,5,0,15,881.4,'19 Years and 9 Months',No,278.19284,Poor
41,Media_Manager,10183.015,1074.584583,5,5,18,1672.43,'10 Years and 2 Months',NM,267.508436,Poor
41,Media_Manager,10183.015,1074.584583,5,5,20,1672.43,'10 Years and 4 Months',Yes,283.05997,Standard
20,Entrepreneur,106733.13,8873.4275,4,0,7,76.23,'32 Years and 10 Months',No,370.135973,Good
