Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Credit_Card,Num_of_Loan,Num_of_Delayed_Payment,Outstanding_Debt,Credit_History_Age,Payment_of_Min_Amount,Monthly_Balance,Credit_Score
23,Scientist,19114.12,1824.843333,4,4,7,809.98,22 Years and 1 Months,No,312.4940887,Good
23,Scientist,19114.12,1824.843333,4,4,6,809.98,NA,No,358.1241676,Standard
28,Teacher,34847.84,3037.986667,4,1,1,605.03,26 Years and 8 Months,No,484.5912143,Good
28,Teacher,34847.84,3037.986667,4,1,1,605.03,26 Years and 11 Months,No,444.8670319,Good
28,Teacher,34847.84,3037.986667,4,1,0,605.03,27 Years and 0 Months,No,481.5052619,Good
28,Teacher,34847.84,3037.986667,4,1,4,605.03,27 Years and 2 Months,No,356.0781086,Good
34,Engineer,143162.64,12187.22,5,3,6,1303.01,17 Years and 10 Months,No,998.8692968,Good
34,Engineer,143162.64,12187.22,5,3,5,1303.01,NA,No,426.5134106,Good
34,Engineer,143162.64,12187.22,5,3,6,1303.01,18 Years and 3 Months,No,968.5555174,Standard
34,Engineer,143162.64,12187.22,5,3,6,1303.01,18 Years and 4 Months,No,895.4945832,Standard
54,Entrepreneur,30689.89,2612.490833,5,1,6,632.46,17 Years and 3 Months,No,433.604773,Standard
54,Entrepreneur,30689.89,2612.490833,5,1,3,632.46,17 Years and 4 Months,No,409.9518118,Standard
55,Entrepreneur,30689.89,2612.490833,5,1,9,632.46,17 Years and 5 Months,NM,411.4271229,Standard
55,Entrepreneur,30689.89,2612.490833,5,1,6,632.46,17 Years and 7 Months,No,359.3749155,Standard
21,Developer,35547.71,2853.309167,5,0,15,943.86,30 Years and 11 Months,Yes,438.5454316,Standard
21,Developer,35547.71,2853.309167,5,0,17,943.86,31 Years and 0 Months,Yes,482.6076383,Standard
21,Developer,35547.71,2853.309167,5,0,15,943.86,31 Years and 2 Months,Yes,394.3189339,Standard
31,Lawyer,73928.46,5988.705,5,0,7,548.2,NA,No,698.8107657,Good
31,Lawyer,73928.46,5988.705,5,0,7,548.2,32 Years and 2 Months,No,270.6681087,Good
31,Lawyer,73928.46,5988.705,5,0,7,548.2,32 Years and 3 Months,No,690.9186643,Good
31,Lawyer,73928.46,5988.705,5,0,7,548.2,NA,No,633.080175,Good
31,Lawyer,73928.46,5988.705,5,0,4,548.2,32 Years and 5 Months,No,510.3611005,Standard
31,Lawyer,73928.46,5988.705,5,0,7,548.2,32 Years and 6 Months,No,796.2349097,Good
33,Lawyer,131313.4,11242.78333,1,2,3,352.16,30 Years and 7 Months,NM,858.4624744,Good
34,Lawyer,131313.4,11242.78333,1,2,2,352.16,30 Years and 8 Months,No,547.7604572,Good
34,Lawyer,131313.4,10469.20776,1,2,3,352.16,30 Years and 9 Months,NM,1038.569407,Good
34,Lawyer,131313.4,10469.20776,1,2,2,352.16,30 Years and 10 Months,No,899.1987716,Good
34,Lawyer,131313.4,10469.20776,1,2,4,352.16,30 Years and 11 Months,No,963.254819,Good
34,Lawyer,131313.4,10469.20776,1,2,2,352.16,31 Years and 2 Months,No,396.1113462,Good
30,Media_Manager,34081.38,2611.115,7,3,14,1704.18,14 Years and 8 Months,Yes,392.1961846,Poor
30,Media_Manager,34081.38,2611.115,7,3,14,1704.18,15 Years and 2 Months,Yes,411.3068036,Poor
23,Doctor,114838.41,9843.8675,5,3,8,1377.74,21 Years and 5 Months,NM,785.2583559,Good
23,Doctor,114838.41,9843.8675,5,3,11,1377.74,21 Years and 8 Months,No,367.6845939,Standard
24,Doctor,114838.41,9843.8675,5,3,14,1377.74,21 Years and 9 Months,NM,491.1133876,Good
44,Journalist,31370.8,2825.233333,5,2,0,421.43,NA,NM,341.5544232,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,26 Years and 6 Months,No,227.1627349,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,26 Years and 7 Months,No,375.0865083,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,26 Years and 8 Months,No,292.3016778,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,26 Years and 9 Months,No,341.2066326,Good
44,Journalist,31370.8,2825.233333,6,2,0,421.43,NA,No,378.1897794,Good
40,Teacher,33751.27,2948.605833,5,3,20,1328.93,19 Years and 3 Months,Yes,399.7213311,Standard
40,Teacher,33751.27,2948.605833,5,3,20,1328.93,19 Years and 7 Months,Yes,406.9923272,Standard
40,Teacher,33751.27,2948.605833,5,3,20,1328.93,19 Years and 8 Months,Yes,444.4252395,Standard
32,Engineer,88640.24,7266.686667,6,2,0,950.36,25 Years and 5 Months,No,732.5635317,Standard
33,Engineer,88640.24,7266.686667,6,2,0,950.36,25 Years and 7 Months,No,543.3063842,Standard
33,Engineer,88640.24,7266.686667,6,2,2,950.36,25 Years and 8 Months,No,86.63611983,Standard
33,Engineer,88640.24,7266.686667,6,2,2,950.36,25 Years and 9 Months,No,561.8766736,Good
33,Engineer,88640.24,7266.686667,6,2,0,950.36,25 Years and 10 Months,No,195.3690791,Good
35,Entrepreneur,54392.16,4766.68,4,3,8,179.22,26 Years and 10 Months,Yes,378.5404802,Standard
35,Entrepreneur,54392.16,4766.68,4,3,7,179.22,27 Years and 1 Months,Yes,147.4336899,Standard
35,Entrepreneur,54392.16,4766.68,4,3,8,179.22,27 Years and 2 Months,Yes,409.1574722,Standard
35,Entrepreneur,54392.16,4766.68,4,3,8,179.22,27 Years and 3 Months,Yes,7.129357074,Standard
36,Entrepreneur,54392.16,4766.68,4,3,8,179.22,27 Years and 4 Months,Yes,464.1635141,Standard
36,Entrepreneur,54392.16,4766.68,4,3,8,179.22,27 Years and 5 Months,Yes,147.1580197,Standard
39,Manager,8701.545,519.12875,5,7,9,2602.69,9 Years and 0 Months,Yes,250.6495139,Poor
39,Manager,8701.545,519.12875,5,7,7,2602.69,9 Years and 2 Months,Yes,284.974494,Poor
39,Manager,8701.545,519.12875,5,7,9,2602.69,9 Years and 3 Months,Yes,254.8777256,Poor
39,Manager,8701.545,519.12875,5,7,6,2602.69,9 Years and 4 Months,Yes,242.4330644,Poor
36,Entrepreneur,25546.26,2415.855,7,5,14,758.44,18 Years and 2 Months,NM,337.1522635,Standard
37,Entrepreneur,25546.26,2415.855,7,5,10,758.44,18 Years and 4 Months,Yes,319.0402759,Standard
37,Entrepreneur,25546.26,2415.855,7,5,13,758.44,18 Years and 6 Months,Yes,118.2575152,Standard
37,Entrepreneur,25546.26,2415.855,7,5,10,758.44,NA,Yes,338.5261142,Standard
37,Entrepreneur,25546.26,2415.855,7,5,14,758.44,18 Years and 8 Months,Yes,299.9564689,Standard
30,Scientist,31993.78,2942.148333,6,2,14,818.22,16 Years and 10 Months,Yes,447.0747001,Standard
30,Scientist,31993.78,2942.148333,6,2,14,818.22,16 Years and 11 Months,Yes,157.8698035,Standard
31,Scientist,31993.78,2942.148333,6,2,16,818.22,17 Years and 5 Months,Yes,421.4853319,Standard
20,Accountant,92047.08,7591.59,7,0,11,1296.64,29 Years and 4 Months,Yes,823.7133773,Standard
20,Accountant,92047.08,7591.59,7,0,8,1296.64,29 Years and 6 Months,NM,920.4396545,Poor
20,Accountant,92047.08,7591.59,7,0,13,1296.64,NA,Yes,782.5739728,Poor
20,Accountant,92047.08,7591.59,7,0,10,1296.64,29 Years and 8 Months,Yes,939.8734298,Poor
20,Accountant,92047.08,7591.59,7,0,11,1296.64,29 Years and 9 Months,Yes,761.0743967,Poor
45,Teacher,32284.62,2898.385,7,6,12,1283.37,6 Years and 5 Months,Yes,211.9393246,Standard
46,Teacher,32284.62,2898.385,7,6,12,1283.37,6 Years and 6 Months,Yes,353.5906322,Standard
46,Teacher,32284.62,2898.385,7,6,12,1283.37,6 Years and 7 Months,Yes,391.0073712,Standard
46,Teacher,32284.62,2898.385,7,6,12,1283.37,6 Years and 8 Months,Yes,196.5826859,Standard
46,Teacher,32284.62,2898.385,7,6,12,1283.37,7 Years and 0 Months,Yes,117.0291074,Standard
26,Musician,97791.42,8079.285,6,0,8,107.41,27 Years and 3 Months,Yes,755.2081803,Standard
26,Musician,97791.42,8079.285,6,0,7,107.41,27 Years and 4 Months,Yes,881.6642742,Standard
26,Musician,97791.42,7449.469347,6,0,8,107.41,27 Years and 7 Months,Yes,939.6245614,Good
26,Musician,97791.42,7449.469347,6,0,8,107.41,27 Years and 8 Months,Yes,334.3876987,Standard
31,Entrepreneur,19300.34,1512.361667,7,5,18,2430.21,18 Years and 3 Months,NM,306.3658914,Poor
31,Entrepreneur,19300.34,1512.361667,7,5,19,2430.21,NA,Yes,230.8455085,Poor
31,Entrepreneur,19300.34,1512.361667,7,5,19,2430.21,18 Years and 5 Months,Yes,300.2360745,Standard
32,Entrepreneur,19300.34,1512.361667,7,5,19,2430.21,NA,Yes,218.6215536,Poor
32,Entrepreneur,19300.34,1512.361667,7,5,19,2430.21,18 Years and 9 Months,Yes,263.4785537,Standard
41,Musician,19514.88,1828.24,5,0,12,881.4,19 Years and 3 Months,NM,382.6802729,Standard
41,Musician,19514.88,1828.24,5,0,14,881.4,19 Years and 4 Months,No,381.8960652,Standard
41,Musician,19514.88,1828.24,5,0,12,881.4,19 Years and 5 Months,No,389.5081755,Standard
41,Musician,19514.88,1828.24,5,0,15,881.4,19 Years and 9 Months,No,278.19284,Poor
41,Media_Manager,10183.015,1074.584583,5,5,18,1672.43,10 Years and 2 Months,NM,267.5084355,Poor
41,Media_Manager,10183.015,1074.584583,5,5,20,1672.43,10 Years and 4 Months,Yes,283.0599697,Standard
20,Entrepreneur,106733.13,8873.4275,4,0,7,76.23,32 Years and 10 Months,No,370.1359732,Good
20,Entrepreneur,106733.13,8873.4275,4,0,6,76.23,32 Years and 11 Months,No,955.3099215,Good
20,Entrepreneur,106733.13,8873.4275,4,0,6,76.23,NA,No,913.0316547,Standard
20,Entrepreneur,106733.13,8873.4275,4,0,4,76.23,NA,No,936.3073774,Standard
20,Entrepreneur,106733.13,8873.4275,4,0,6,76.23,33 Years and 4 Months,No,792.5790252,Standard
31,Lawyer,12600.445,782.0370833,5,3,16,569.8,12 Years and 5 Months,Yes,310.1170529,Standard
32,Lawyer,12600.445,782.0370833,5,3,19,569.8,12 Years and 8 Months,Yes,294.1352941,Poor
32,Lawyer,12600.445,782.0370833,5,3,20,569.8,NA,Yes,275.2344649,Poor
32,Lawyer,12600.445,782.0370833,5,3,19,569.8,12 Years and 10 Months,Yes,275.7697808,Poor
34,Mechanic,57983.12,4720.926667,8,8,19,3532.83,NA,Yes,295.9538413,Poor
48,Entrepreneur,20787.69,1999.3075,6,3,14,614.6,17 Years and 10 Months,No,253.3256224,Standard
48,Entrepreneur,20787.69,1999.3075,6,3,14,614.6,NA,No,369.0713964,Standard
48,Entrepreneur,20787.69,1999.3075,6,3,14,614.6,NA,No,189.4935835,Standard
30,Writer,34290.12,2697.51,8,7,10,2686.81,13 Years and 8 Months,NM,106.5690601,Poor
30,Writer,34290.12,2697.51,8,7,6,2686.81,NA,Yes,274.0494813,Standard
30,Writer,34290.12,2697.51,8,7,12,2686.81,14 Years and 1 Months,Yes,225.6921063,Poor
32,Accountant,43070.24,3622.186667,3,1,8,1233.1,19 Years and 4 Months,Yes,521.133433,Standard
32,Accountant,43070.24,3622.186667,3,1,8,1233.1,19 Years and 6 Months,Yes,423.5472234,Standard
32,Accountant,43070.24,3622.186667,3,1,8,1233.1,19 Years and 7 Months,Yes,530.3086018,Standard
32,Accountant,43070.24,3622.186667,3,1,8,1233.1,19 Years and 8 Months,Yes,493.019135,Standard
40,Architect,28572.39,2210.0325,3,3,12,400.07,30 Years and 3 Months,Yes,348.5498224,Standard
40,Architect,28572.39,2210.0325,3,3,9,400.07,30 Years and 4 Months,NM,358.3561205,Standard
40,Architect,28572.39,2210.0325,3,3,13,400.07,NA,Yes,364.7925206,Standard
37,Manager,39641.54,3007.461667,8,6,13,2258.73,NA,Yes,151.4486141,Poor
37,Manager,39641.54,3007.461667,8,6,16,2258.73,8 Years and 9 Months,NM,162.2860574,Poor
37,Manager,39641.54,3007.461667,8,6,15,2258.73,8 Years and 10 Months,Yes,190.3215159,Poor
37,Manager,39641.54,3007.461667,8,6,16,2258.73,9 Years and 1 Months,Yes,296.2151883,Poor
37,Manager,39641.54,3007.461667,8,6,14,2258.73,NA,Yes,237.6910948,Poor
38,Manager,39641.54,3007.461667,8,6,13,2258.73,9 Years and 3 Months,Yes,249.0958331,Poor
